#{"t_start": 1775585549.7328336, "env_id": "None"}
r,l,t
11.0,10,14.714538
13.0,10,14.747389
13.0,10,14.780375
13.0,10,14.813704
13.0,10,14.844332
13.0,10,14.871299
10.0,10,14.901688
13.0,10,14.932676
13.0,10,14.956697
13.0,10,14.984947
10.0,10,15.01533
11.0,10,15.048884
11.0,10,15.078834
13.0,10,15.10916
11.0,10,15.143231
13.0,10,15.177979
13.0,10,15.206081
13.0,10,15.235581
13.0,10,15.266462
13.0,10,15.300073
9.0,10,15.330885
13.0,10,15.360587
13.0,10,15.387735
13.0,10,15.419269
13.0,10,15.446525
13.0,10,15.478028
13.0,10,15.506251
13.0,10,15.536266
13.0,10,15.562575
11.0,10,15.590557
11.0,10,15.619168
13.0,10,15.649248
13.0,10,15.676871
10.0,10,15.703561
9.0,10,15.731348
10.0,10,15.764894
10.0,10,15.793072
13.0,10,15.821699
13.0,10,15.85414
13.0,10,15.887089
11.0,10,15.917518
13.0,10,15.946292
11.0,10,15.973094
13.0,10,16.010481
13.0,10,16.033325
13.0,10,16.060691
11.0,10,16.086058
11.0,10,16.119135
11.0,10,16.147365
13.0,10,16.179976
8.0,10,16.220229
13.0,10,16.291041
11.0,10,16.336197
13.0,10,16.368866
13.0,10,16.39899
13.0,10,16.455791
13.0,10,16.496686
13.0,10,16.524862
11.0,10,16.550625
13.0,10,16.582292
13.0,10,16.605891
13.0,10,16.631706
13.0,10,16.657829
13.0,10,16.688612
13.0,10,16.713677
13.0,10,16.737463
13.0,10,16.762025
13.0,10,16.795856
13.0,10,16.827221
13.0,10,16.853653
11.0,10,16.885399
13.0,10,16.920006
13.0,10,16.946327
13.0,10,16.978798
13.0,10,17.008214
13.0,10,17.043655
13.0,10,17.07125
13.0,10,17.100879
11.0,10,17.12544
13.0,10,17.155657
13.0,10,17.177563
13.0,10,17.197973
13.0,10,17.222258
11.0,10,17.254002
13.0,10,17.285919
13.0,10,17.316192
13.0,10,17.349194
13.0,10,17.381498
13.0,10,17.410596
13.0,10,17.43908
13.0,10,17.469132
13.0,10,17.50192
13.0,10,17.52954
10.0,10,17.559494
11.0,10,17.584215
11.0,10,17.616956
10.0,10,17.6434
13.0,10,17.672242
13.0,10,17.697993
13.0,10,17.729478
13.0,10,17.753986
10.0,10,17.78196
13.0,10,17.809022
13.0,10,17.839682
10.0,10,17.866548
13.0,10,17.893915
13.0,10,17.919491
8.0,10,17.9533
13.0,10,17.984917
13.0,10,18.017593
11.0,10,18.046263
11.0,10,18.082795
13.0,10,18.109542
13.0,10,18.137377
13.0,10,18.165086
13.0,10,18.198294
13.0,10,18.225899
10.0,10,18.255848
13.0,10,18.291279
13.0,10,18.324569
10.0,10,18.350131
13.0,10,18.383302
13.0,10,18.412872
11.0,10,18.446564
9.0,10,18.470428
13.0,10,18.495535
11.0,10,18.519457
13.0,10,18.55316
13.0,10,18.57804
13.0,10,18.607934
13.0,10,18.63884
13.0,10,18.669155
13.0,10,18.693521
13.0,10,18.721173
13.0,10,18.750146
13.0,10,18.780076
13.0,10,18.804818
9.0,10,18.829215
13.0,10,18.855261
13.0,10,18.885423
13.0,10,18.911356
13.0,10,18.9367
11.0,10,18.963984
13.0,10,18.999883
13.0,10,19.029869
13.0,10,19.057109
13.0,10,19.084189
11.0,10,19.117969
7.0,10,19.144192
11.0,10,19.170137
11.0,10,19.20069
13.0,10,19.239024
13.0,10,19.266493
13.0,10,19.293349
13.0,10,19.326189
13.0,10,19.359746
13.0,10,19.387241
13.0,10,19.412642
13.0,10,19.443368
13.0,10,19.477739
11.0,10,19.508929
13.0,10,19.542163
13.0,10,19.567249
13.0,10,19.59787
13.0,10,19.623817
13.0,10,19.649436
13.0,10,19.675916
10.0,10,19.712629
13.0,10,19.738026
11.0,10,19.767872
11.0,10,19.798433
10.0,10,19.828357
13.0,10,19.857465
13.0,10,19.885008
11.0,10,19.913086
11.0,10,19.945102
13.0,10,19.970361
13.0,10,19.996465
13.0,10,20.02113
11.0,10,20.05384
13.0,10,20.083343
13.0,10,20.108924
13.0,10,20.138341
13.0,10,20.169183
13.0,10,20.196627
13.0,10,20.226741
10.0,10,20.255804
13.0,10,20.286312
11.0,10,20.315098
9.0,10,20.344753
13.0,10,20.369039
13.0,10,20.40109
13.0,10,20.428344
13.0,10,20.455303
13.0,10,20.479175
11.0,10,20.511222
13.0,10,20.534266
13.0,10,20.565241
13.0,10,20.593193
13.0,10,20.626893
11.0,10,20.652532
13.0,10,20.678499
10.0,10,20.705305
13.0,10,20.734317
10.0,10,20.762345
13.0,10,20.788222
13.0,10,20.815398
13.0,10,20.84484
11.0,10,20.870456
